"","Package","LibPath","Version","Priority","Depends","Imports","LinkingTo","Suggests","Enhances","License","License_is_FOSS","License_restricts_use","OS_type","MD5sum","NeedsCompilation","Built"
"muhaz","muhaz","C:/Program Files/R/R-4.1.2/library","1.2.6.4",NA,"R(>= 2.3)","survival",NA,NA,NA,"GPL",NA,NA,NA,NA,"yes","4.1.1"
"multcomp","multcomp","C:/Program Files/R/R-4.1.2/library","1.4-17",NA,"stats, graphics, mvtnorm (>= 1.0-10), survival (>= 2.39-4),
TH.data (>= 1.0-2)","sandwich (>= 2.3-0), codetools",NA,"lme4 (>= 0.999375-16), nlme, robustbase, coin, MASS, foreign,
xtable, lmtest, coxme (>= 2.2-1), SimComp, ISwR, tram (>=
0.2-5)",NA,"GPL-2",NA,NA,NA,NA,"no","4.1.1"
"multicool","multicool","C:/Program Files/R/R-4.1.2/library","0.1-12",NA,"methods, Rcpp (>= 0.11.2)",NA,"Rcpp",NA,NA,"GPL-2",NA,NA,NA,NA,"yes","4.1.3"
"multilevelmod","multilevelmod","C:/Program Files/R/R-4.1.2/library","0.2.0",NA,"parsnip (>= 0.2.0), R (>= 2.10)","dplyr, lme4, purrr, rlang, tibble, withr",NA,"covr, gee, knitr, nlme, rmarkdown, spelling, testthat,
tidymodels",NA,"MIT + file LICENSE",NA,NA,NA,NA,"no","4.1.3"
"munsell","munsell","C:/Program Files/R/R-4.1.2/library","0.5.0",NA,NA,"colorspace, methods",NA,"ggplot2, testthat",NA,"MIT + file LICENSE",NA,NA,NA,NA,"no","4.1.1"
"mvtnorm","mvtnorm","C:/Program Files/R/R-4.1.2/library","1.1-3",NA,"R(>= 3.5.0)","stats, methods",NA,NA,NA,"GPL-2",NA,NA,NA,NA,"yes","4.1.1"
"naniar","naniar","C:/Program Files/R/R-4.1.2/library","0.6.1",NA,"R (>= 3.1.2)","dplyr, ggplot2, purrr, tidyr, tibble (>= 2.0.0), norm,
magrittr, stats, visdat, rlang, forcats, viridis, glue, UpSetR",NA,"knitr, rmarkdown, testthat (>= 2.1.0), rpart, rpart.plot,
covr, gridExtra, wakefield, vdiffr, here, simputation,
imputeTS, gdtools, Hmisc, spelling",NA,"MIT + file LICENSE",NA,NA,NA,NA,"no","4.1.2"
"nlme","nlme","C:/Program Files/R/R-4.1.2/library","3.1-153","recommended","R (>= 3.4.0)","graphics, stats, utils, lattice",NA,"Hmisc, MASS",NA,"GPL (>= 2) | file LICENCE",NA,NA,NA,NA,"yes","4.1.2"
"nloptr","nloptr","C:/Program Files/R/R-4.1.2/library","1.2.2.3",NA,NA,NA,NA,"testthat (>= 0.8.1), knitr, rmarkdown, inline (>= 0.3.14)",NA,"LGPL-3",NA,NA,NA,NA,"yes","4.1.2"
"NMOF","NMOF","C:/Program Files/R/R-4.1.2/library","2.5-1",NA,"R (>= 2.14)","grDevices, graphics, parallel, stats, utils",NA,"MASS, PMwR, RUnit, Rglpk, datetimeutils, openxlsx, quadprog,
readxl, tinytest",NA,"GPL-3",NA,NA,NA,NA,"no","4.1.3"
"nnet","nnet","C:/Program Files/R/R-4.1.2/library","7.3-16","recommended","R (>= 3.0.0), stats, utils",NA,NA,"MASS",NA,"GPL-2 | GPL-3",NA,NA,NA,NA,"yes","4.1.2"
"nnls","nnls","C:/Program Files/R/R-4.1.2/library","1.4",NA,NA,NA,NA,NA,NA,"GPL (>= 2)",NA,NA,NA,NA,NA,"4.1.1"
"norm","norm","C:/Program Files/R/R-4.1.2/library","1.0-9.5",NA,NA,NA,NA,NA,NA,"file LICENSE",NA,NA,NA,NA,"yes","4.1.1"
"numDeriv","numDeriv","C:/Program Files/R/R-4.1.2/library","2016.8-1.1",NA,"R (>= 2.11.1)",NA,NA,NA,NA,"GPL-2",NA,NA,NA,NA,"no","4.1.1"
"openssl","openssl","C:/Program Files/R/R-4.1.2/library","1.4.5",NA,NA,"askpass",NA,"testthat (>= 2.1.0), digest, knitr, rmarkdown, jsonlite,
jose, sodium",NA,"MIT + file LICENSE",NA,NA,NA,NA,"yes","4.1.1"
"osfr","osfr","C:/Program Files/R/R-4.1.2/library","0.2.8",NA,"R (>= 3.1.0)","crul (>= 0.7.4), jsonlite, stringi, purrr, tibble, rlang, fs
(>= 1.3.0), memoise, httr",NA,"dplyr, logger, rprojroot, testthat, knitr, rmarkdown, lintr
(>= 2.0), covr, spelling",NA,"MIT + file LICENSE",NA,NA,NA,NA,"no","4.1.3"
"pander","pander","C:/Program Files/R/R-4.1.2/library","0.6.4",NA,"R (>= 2.15.0)","grDevices, graphics, methods, utils, stats, digest, tools,
Rcpp","Rcpp","grid, lattice, ggplot2 (>= 0.9.2), sylly, sylly.en, logger,
survival, microbenchmark, zoo, nlme, descr, MASS, knitr,
rmarkdown, tables, reshape, memisc, Epi, randomForest, tseries,
gtable, rms, forecast, data.table",NA,"AGPL-3 | file LICENSE",NA,NA,NA,NA,"yes","4.1.2"
"parallel","parallel","C:/Program Files/R/R-4.1.2/library","4.1.2","base",NA,"tools, compiler",NA,"methods","snow, nws, Rmpi","Part of R 4.1.2",NA,NA,NA,NA,"yes","4.1.2"
"parallelly","parallelly","C:/Program Files/R/R-4.1.2/library","1.28.1",NA,NA,"parallel, tools, utils",NA,NA,NA,"LGPL (>= 2.1)",NA,NA,NA,NA,"no","4.1.1"
"parsnip","parsnip","C:/Program Files/R/R-4.1.2/library","0.2.1",NA,"R (>= 2.10)","cli, dplyr (>= 0.8.0.1), generics (>= 0.1.0.9000), ggplot2,
globals, glue, hardhat (>= 0.1.6.9001), lifecycle, magrittr,
prettyunits, purrr, rlang (>= 0.3.1), stats, tibble (>= 2.1.1),
tidyr (>= 1.0.0), utils, vctrs (>= 0.2.0), withr",NA,"C50, covr, dials (>= 0.0.10.9001), earth, tensorflow,
ggrepel, keras, kernlab, kknn, knitr, LiblineaR, MASS, Matrix,
mgcv, modeldata, nlme, ranger (>= 0.12.0), remotes, rmarkdown,
rpart, sparklyr (>= 1.0.0), survival, testthat, xgboost (>=
1.5.0.1)",NA,"MIT + file LICENSE",NA,NA,NA,NA,"no","4.1.3"
"partykit","partykit","C:/Program Files/R/R-4.1.2/library","1.2-15",NA,"R (>= 3.5.0), graphics, grid, libcoin (>= 1.0-0), mvtnorm","grDevices, stats, utils, survival, Formula (>= 1.2-1), inum
(>= 1.0-0), rpart (>= 4.1-11)",NA,"XML, pmml, rJava, sandwich, strucchange, vcd, AER, mlbench,
TH.data (>= 1.0-3), coin (>= 1.1-0), RWeka (>= 0.4-19),
datasets, parallel, psychotools (>= 0.3-0), psychotree, party
(>= 1.3-0), randomForest",NA,"GPL-2 | GPL-3",NA,NA,NA,NA,"yes","4.1.1"
"patchwork","patchwork","C:/Program Files/R/R-4.1.2/library","1.1.1",NA,NA,"ggplot2 (>= 3.0.0), gtable, grid, stats, grDevices, utils,
graphics",NA,"knitr, rmarkdown, gridGraphics, gridExtra, ragg, testthat (>=
2.1.0), vdiffr, covr, png",NA,"MIT + file LICENSE",NA,NA,NA,NA,"no","4.1.1"
"pbapply","pbapply","C:/Program Files/R/R-4.1.2/library","1.5-0",NA,"R (>= 3.2.0)","parallel",NA,"shiny",NA,"GPL-2",NA,NA,NA,NA,"no","4.1.2"
"pbkrtest","pbkrtest","C:/Program Files/R/R-4.1.2/library","0.5.1",NA,"R (>= 3.5.0), lme4 (>= 1.1.10)","broom, dplyr, magrittr, MASS, Matrix (>= 1.2.3), methods,
numDeriv, parallel, knitr",NA,NA,NA,"GPL (>= 2)",NA,NA,NA,NA,"no","4.1.3"
"pec","pec","C:/Program Files/R/R-4.1.2/library","2021.10.11",NA,"R (>= 2.9.0), prodlim (>= 1.4.9)","foreach (>= 1.4.2), rms (>= 4.2-0), survival (>= 2.37-7),
riskRegression (>= 2020.02.05), lava (>= 1.4.1), timereg (>=
1.8.9),",NA,"randomForestSRC, party, cmprsk (>= 2.2-7), rpart, crrstep,
Hmisc (>= 3.14-4)",NA,"GPL (>= 2)",NA,NA,NA,NA,"yes","4.1.1"
"PerformanceAnalytics","PerformanceAnalytics","C:/Program Files/R/R-4.1.2/library","2.0.4",NA,"R (>= 3.5.0), xts (>= 0.10.0)","methods, quadprog, zoo",NA,"dygraphs, Hmisc, MASS, quantmod, gamlss, gamlss.dist,
robustbase, quantreg, tinytest, ggplot2, RColorBrewer,
googleVis, plotly, gridExtra, ggpubr, RPESE, R.rsp, RobStatTM",NA,"GPL-2 | GPL-3",NA,NA,NA,NA,"yes","4.1.3"
"philentropy","philentropy","C:/Program Files/R/R-4.1.2/library","0.6.0",NA,"R (>= 3.1.2)","Rcpp, KernSmooth, poorman","Rcpp","testthat, knitr, rmarkdown, microbenchmark",NA,"GPL-2",NA,NA,NA,NA,"yes","4.1.3"
"pillar","pillar","C:/Program Files/R/R-4.1.2/library","1.6.4",NA,NA,"cli, crayon (>= 1.3.4), ellipsis (>= 0.3.2), fansi, lifecycle,
rlang (>= 0.3.0), utf8 (>= 1.1.0), utils, vctrs (>= 0.3.8)",NA,"bit64, debugme, DiagrammeR, dplyr, formattable, ggplot2,
knitr, lubridate, nycflights13, palmerpenguins, rmarkdown,
scales, stringi, survival, testthat (>= 3.0.2), tibble, units
(>= 0.7.2), withr",NA,"MIT + file LICENSE",NA,NA,NA,NA,"no","4.1.1"
"pkgbuild","pkgbuild","C:/Program Files/R/R-4.1.2/library","1.2.0",NA,"R (>= 3.1)","callr (>= 3.2.0), cli, crayon, desc, prettyunits, R6,
rprojroot, withr (>= 2.1.2)",NA,"Rcpp, cpp11, testthat, covr",NA,"MIT + file LICENSE",NA,NA,NA,NA,"no","4.1.1"
"pkgconfig","pkgconfig","C:/Program Files/R/R-4.1.2/library","2.0.3",NA,NA,"utils",NA,"covr, testthat, disposables (>= 1.0.3)",NA,"MIT + file LICENSE",NA,NA,NA,NA,"no","4.1.1"
"pkgload","pkgload","C:/Program Files/R/R-4.1.2/library","1.2.3",NA,NA,"cli, crayon, desc, methods, rlang, rprojroot, rstudioapi,
utils, withr",NA,"bitops, covr, pkgbuild, Rcpp, testthat",NA,"GPL-3",NA,NA,NA,NA,"no","4.1.1"
"plot3D","plot3D","C:/Program Files/R/R-4.1.2/library","1.4",NA,"R (>= 2.15)","misc3d, stats, graphics, grDevices, methods",NA,NA,NA,"GPL (>= 3.0)",NA,NA,NA,NA,"no","4.1.3"
"plotly","plotly","C:/Program Files/R/R-4.1.2/library","4.10.0",NA,"R (>= 3.2.0), ggplot2 (>= 3.0.0)","tools, scales, httr (>= 1.3.0), jsonlite (>= 1.6), magrittr,
digest, viridisLite, base64enc, htmltools (>= 0.3.6),
htmlwidgets (>= 1.5.2.9001), tidyr (>= 1.0.0), RColorBrewer,
dplyr, vctrs, tibble, lazyeval (>= 0.2.0), rlang (>= 0.4.10),
crosstalk, purrr, data.table, promises",NA,"MASS, maps, hexbin, ggthemes, GGally, testthat, knitr,
devtools, shiny (>= 1.1.0), shinytest (>= 1.3.0), curl,
rmarkdown, Cairo, broom, webshot, listviewer, dendextend,
maptools, rgeos, sf, png, IRdisplay, processx, plotlyGeoAssets,
forcats, palmerpenguins, rversions, reticulate",NA,"MIT + file LICENSE",NA,NA,NA,NA,"no","4.1.2"
"plotmo","plotmo","C:/Program Files/R/R-4.1.2/library","3.6.1",NA,"R (>= 3.4.0), Formula (>= 1.2-3), plotrix, TeachingDemos",NA,NA,"C50 (>= 0.1.0-24), earth (>= 5.1.2), gbm (>= 2.1.1), glmnet
(>= 2.0.5), glmnetUtils (>= 1.0.3), MASS (>= 7.3-51), mlr (>=
2.12.1), neuralnet (>= 1.33), partykit (>= 1.2-2), pre (>=
0.5.0), rpart (>= 4.1-15), rpart.plot (>= 3.0.8)",NA,"GPL-3",NA,NA,NA,NA,"no","4.1.1"
"plotrix","plotrix","C:/Program Files/R/R-4.1.2/library","3.8-2",NA,"R (>= 3.5.0)","grDevices, graphics, stats, utils",NA,NA,NA,"GPL (>= 2)",NA,NA,NA,NA,"no","4.1.1"
"plyr","plyr","C:/Program Files/R/R-4.1.2/library","1.8.6",NA,"R (>= 3.1.0)","Rcpp (>= 0.11.0)","Rcpp","abind, covr, doParallel, foreach, iterators, itertools,
tcltk, testthat",NA,"MIT + file LICENSE",NA,NA,NA,NA,"yes","4.1.1"
"png","png","C:/Program Files/R/R-4.1.2/library","0.1-7",NA,"R (>= 2.9.0)",NA,NA,NA,NA,"GPL-2 | GPL-3",NA,NA,NA,NA,"yes","4.1.1"
"polspline","polspline","C:/Program Files/R/R-4.1.2/library","1.1.19",NA,NA,"stats, graphics",NA,NA,NA,"GPL (>= 2)",NA,NA,NA,NA,"yes","4.1.1"
"polyclip","polyclip","C:/Program Files/R/R-4.1.2/library","1.10-0",NA,"R (>= 3.0.0)",NA,NA,NA,NA,"BSL",NA,NA,NA,NA,"yes","4.1.1"
"poorman","poorman","C:/Program Files/R/R-4.1.2/library","0.2.5",NA,"R (>= 3.5)",NA,NA,"knitr, pkgdown, rmarkdown, roxygen2, tinytest",NA,"MIT + file LICENSE",NA,NA,NA,NA,"no","4.1.3"
"pracma","pracma","C:/Program Files/R/R-4.1.2/library","2.3.8",NA,"R (>= 3.1.0)","graphics, grDevices, stats, utils",NA,"NlcOptim, quadprog",NA,"GPL (>= 3)",NA,NA,NA,NA,"no","4.1.3"
"praise","praise","C:/Program Files/R/R-4.1.2/library","1.0.0",NA,NA,NA,NA,"testthat",NA,"MIT + file LICENSE",NA,NA,NA,NA,"no","4.1.1"
"prettyunits","prettyunits","C:/Program Files/R/R-4.1.2/library","1.1.1",NA,NA,NA,NA,"codetools, covr, testthat",NA,"MIT + file LICENSE",NA,NA,NA,NA,"no","4.1.1"
"pROC","pROC","C:/Program Files/R/R-4.1.2/library","1.18.0",NA,"R (>= 2.14)","methods, plyr, Rcpp (>= 0.11.1)","Rcpp","microbenchmark, tcltk, MASS, logcondens, doParallel,
testthat, vdiffr, ggplot2",NA,"GPL (>= 3)",NA,NA,NA,NA,"yes","4.1.1"
"processx","processx","C:/Program Files/R/R-4.1.2/library","3.5.2",NA,NA,"ps (>= 1.2.0), R6, utils",NA,"callr (>= 3.2.0), cli, codetools, covr, curl, debugme,
parallel, testthat, withr",NA,"MIT + file LICENSE",NA,NA,NA,NA,"yes","4.1.1"
"prodlim","prodlim","C:/Program Files/R/R-4.1.2/library","2019.11.13",NA,"R (>= 2.9.0)","Rcpp (>= 0.11.5), stats, grDevices, graphics, survival,
KernSmooth, lava","Rcpp",NA,NA,"GPL (>= 2)",NA,NA,NA,NA,"yes","4.1.1"
"progress","progress","C:/Program Files/R/R-4.1.2/library","1.2.2",NA,NA,"hms, prettyunits, R6, crayon",NA,"Rcpp, testthat, withr",NA,"MIT + file LICENSE",NA,NA,NA,NA,"no","4.1.1"
"progressr","progressr","C:/Program Files/R/R-4.1.2/library","0.9.0",NA,"R (>= 3.5.0)","digest, utils",NA,"graphics, tcltk, beepr, crayon, pbmcapply, progress, purrr,
foreach, plyr, doFuture, future, future.apply, furrr,
rstudioapi, shiny, commonmark, base64enc, tools",NA,"GPL (>= 3)",NA,NA,NA,NA,"no","4.1.1"
"proj4","proj4","C:/Program Files/R/R-4.1.2/library","1.0-11",NA,"R (>= 2.0.0)",NA,NA,NA,NA,"GPL-2",NA,NA,NA,NA,"yes","4.1.2"
"promises","promises","C:/Program Files/R/R-4.1.2/library","1.2.0.1",NA,NA,"R6, Rcpp, later, rlang, stats, magrittr","later, Rcpp","testthat, future (>= 1.21.0), fastmap (>= 1.1.0), purrr,
knitr, rmarkdown, vembedr, spelling",NA,"MIT + file LICENSE",NA,NA,NA,NA,"yes","4.1.2"
"proto","proto","C:/Program Files/R/R-4.1.2/library","1.0.0",NA,NA,NA,NA,"testthat, covr",NA,"GPL-2",NA,NA,NA,NA,"no","4.1.3"
"protolite","protolite","C:/Program Files/R/R-4.1.2/library","2.1.1",NA,NA,"Rcpp (>= 0.12.12), jsonlite","Rcpp","spelling, curl, testthat, RProtoBuf, sf",NA,"MIT + file LICENSE",NA,NA,NA,NA,"yes","4.1.2"
"proxy","proxy","C:/Program Files/R/R-4.1.2/library","0.4-26",NA,"R (>= 3.4.0)","stats, utils",NA,"cba",NA,"GPL-2",NA,NA,NA,NA,"yes","4.1.1"
"pryr","pryr","C:/Program Files/R/R-4.1.2/library","0.1.5",NA,"R (>= 3.1.0)","stringr, codetools, methods, Rcpp (>= 0.11.0), lobstr","Rcpp","testthat (>= 0.8.0)",NA,"GPL-2",NA,NA,NA,NA,"yes","4.1.2"
"ps","ps","C:/Program Files/R/R-4.1.2/library","1.6.0",NA,"R (>= 3.1)","utils",NA,"callr, covr, curl, pingr, processx (>= 3.1.0), R6, rlang,
testthat, tibble",NA,"MIT + file LICENSE",NA,NA,NA,NA,"yes","4.1.1"
"psych","psych","C:/Program Files/R/R-4.1.2/library","2.1.9",NA,NA,"mnormt,parallel,stats,graphics,grDevices,methods,lattice,nlme",NA,"psychTools, GPArotation, lavaan, lme4, Rcsdp, graph, knitr,
Rgraphviz",NA,"GPL (>= 2)",NA,NA,NA,NA,"no","4.1.2"
"Publish","Publish","C:/Program Files/R/R-4.1.2/library","2020.12.23",NA,"prodlim (>= 1.5.4)","survival (>= 2.38), data.table (>= 1.10.4), lava (>= 1.5.1),
multcomp (>= 1.4)",NA,"riskRegression (>= 2020.09.07), testthat, smcfcs (>= 1.4.1),
rms (>= 6.1.0), mitools (>= 2.4), nlme (>= 3.1-131)",NA,"GPL (>= 2)",NA,NA,NA,NA,"no","4.1.1"
"purrr","purrr","C:/Program Files/R/R-4.1.2/library","0.3.4",NA,"R (>= 3.2)","magrittr (>= 1.5), rlang (>= 0.3.1)",NA,"covr, crayon, dplyr (>= 0.7.8), knitr, rmarkdown, testthat,
tibble, tidyselect",NA,"GPL-3 | file LICENSE",NA,NA,NA,NA,"yes","4.1.1"
"quadprog","quadprog","C:/Program Files/R/R-4.1.2/library","1.5-8",NA,"R (>= 3.1.0)",NA,NA,NA,NA,"GPL (>= 2)",NA,NA,NA,NA,"yes","4.1.1"
"quantmod","quantmod","C:/Program Files/R/R-4.1.2/library","0.4.20",NA,"R (>= 3.2.0), xts(>= 0.9-0), zoo, TTR(>= 0.2), methods","curl",NA,"DBI,RMySQL,RSQLite,timeSeries,xml2,downloader,jsonlite(>=
1.1)",NA,"GPL-3",NA,NA,NA,NA,"no","4.1.3"
"quantreg","quantreg","C:/Program Files/R/R-4.1.2/library","5.86",NA,"R (>= 2.6), stats, SparseM","methods, graphics, Matrix, MatrixModels, conquer",NA,"tripack, akima, MASS, survival, rgl, logspline, nor1mix,
Formula, zoo, R.rsp",NA,"GPL (>= 2)",NA,NA,NA,NA,"yes","4.1.1"
"R.methodsS3","R.methodsS3","C:/Program Files/R/R-4.1.2/library","1.8.1",NA,"R (>= 2.13.0)","utils",NA,"codetools",NA,"LGPL (>= 2.1)",NA,NA,NA,NA,"no","4.1.1"
"R.oo","R.oo","C:/Program Files/R/R-4.1.2/library","1.24.0",NA,"R (>= 2.13.0), R.methodsS3 (>= 1.8.0)","methods, utils",NA,"tools",NA,"LGPL (>= 2.1)",NA,NA,NA,NA,"no","4.1.1"
"R.utils","R.utils","C:/Program Files/R/R-4.1.2/library","2.11.0",NA,"R (>= 2.14.0), R.oo (>= 1.24.0)","methods, utils, tools, R.methodsS3 (>= 1.8.1)",NA,"digest (>= 0.6.10)",NA,"LGPL (>= 2.1)",NA,NA,NA,NA,"no","4.1.3"
"R6","R6","C:/Program Files/R/R-4.1.2/library","2.5.1",NA,"R (>= 3.0)",NA,NA,"testthat, pryr",NA,"MIT + file LICENSE",NA,NA,NA,NA,"no","4.1.1"
"ramify","ramify","C:/Program Files/R/R-4.1.2/library","0.3.3",NA,NA,"stats",NA,"testthat, knitr",NA,"GPL (>= 2)",NA,NA,NA,NA,"no","4.1.2"
"randomForest","randomForest","C:/Program Files/R/R-4.1.2/library","4.7-1.1",NA,"R (>= 4.1.0), stats",NA,NA,"RColorBrewer, MASS",NA,"GPL (>= 2)",NA,NA,NA,NA,"yes","4.1.3"
"ranger","ranger","C:/Program Files/R/R-4.1.2/library","0.13.1",NA,"R (>= 3.1)","Rcpp (>= 0.11.2), Matrix","Rcpp, RcppEigen","covr, survival, testthat",NA,"GPL-3",NA,NA,NA,NA,"yes","4.1.1"
"rapidjsonr","rapidjsonr","C:/Program Files/R/R-4.1.2/library","1.2.0",NA,NA,NA,NA,NA,NA,"MIT + file LICENSE",NA,NA,NA,NA,"yes","4.1.1"
"rappdirs","rappdirs","C:/Program Files/R/R-4.1.2/library","0.3.3",NA,"R (>= 3.2)",NA,NA,"roxygen2, testthat (>= 3.0.0), covr, withr",NA,"MIT + file LICENSE",NA,NA,NA,NA,"yes","4.1.1"
"rapportools","rapportools","C:/Program Files/R/R-4.1.2/library","1.0",NA,"reshape","plyr, pander",NA,NA,NA,"AGPL-3",NA,NA,NA,NA,"no","4.1.2"
"raster","raster","C:/Program Files/R/R-4.1.2/library","3.5-11",NA,"sp (>= 1.4-5), R (>= 3.5.0)","Rcpp, methods, terra (>= 1.4-11)","Rcpp","rgdal (>= 1.5-23), rgeos (>= 0.5-3), ncdf4, igraph, tcltk,
parallel, rasterVis, MASS, sf, tinytest, gstat, fields,
exactextractr",NA,"GPL (>= 3)",NA,NA,NA,NA,"yes","4.1.2"
"rcartocolor","rcartocolor","C:/Program Files/R/R-4.1.2/library","2.0.0",NA,"R (>= 3.4)","ggplot2, scales",NA,"covr, MASS, testthat, vdiffr, sf, spData",NA,"MIT + file LICENSE",NA,NA,NA,NA,"no","4.1.2"
"rcmdcheck","rcmdcheck","C:/Program Files/R/R-4.1.2/library","1.4.0",NA,NA,"callr (>= 3.1.1.9000), cli (>= 3.0.0), curl, desc (>= 1.2.0),
digest, pkgbuild, prettyunits, R6, rprojroot, sessioninfo (>=
1.1.1), utils, withr, xopen",NA,"covr, knitr, mockery, processx, ps, rmarkdown, svglite,
testthat, webfakes",NA,"MIT + file LICENSE",NA,NA,NA,NA,"no","4.1.1"
"RColorBrewer","RColorBrewer","C:/Program Files/R/R-4.1.2/library","1.1-2",NA,"R (>= 2.0.0)",NA,NA,NA,NA,"Apache License 2.0",NA,NA,NA,NA,"no","4.1.1"
"Rcpp","Rcpp","C:/Program Files/R/R-4.1.2/library","1.0.7",NA,NA,"methods, utils",NA,"tinytest, inline, rbenchmark, pkgKitten (>= 0.1.2)",NA,"GPL (>= 2)",NA,NA,NA,NA,"yes","4.1.1"
"RcppArmadillo","RcppArmadillo","C:/Program Files/R/R-4.1.2/library","0.10.7.0.0",NA,"R (>= 3.3.0)","Rcpp (>= 0.11.0), stats, utils, methods","Rcpp","tinytest, Matrix (>= 1.3.0), pkgKitten, reticulate, slam",NA,"GPL (>= 2)",NA,NA,NA,NA,"yes","4.1.1"
"RcppEigen","RcppEigen","C:/Program Files/R/R-4.1.2/library","0.3.3.9.1",NA,NA,"Matrix (>= 1.1-0), Rcpp (>= 0.11.0), stats, utils","Rcpp","inline, tinytest, pkgKitten, microbenchmark",NA,"GPL (>= 2) | file LICENSE",NA,NA,NA,NA,"yes","4.1.1"
"RcppParallel","RcppParallel","C:/Program Files/R/R-4.1.2/library","5.1.5",NA,"R (>= 3.0.2)",NA,NA,"Rcpp, RUnit, knitr, rmarkdown",NA,"GPL (>= 3)",NA,NA,NA,NA,"yes","4.1.2"
"RcppTOML","RcppTOML","C:/Program Files/R/R-4.1.2/library","0.1.7",NA,"R (>= 3.3.0)","Rcpp (>= 0.11.5)","Rcpp","tinytest",NA,"GPL (>= 2)",NA,NA,NA,NA,"yes","4.1.3"
"RCurl","RCurl","C:/Program Files/R/R-4.1.2/library","1.98-1.6",NA,"R (>= 3.4.0), methods","bitops",NA,"XML",NA,"BSD_3_clause + file LICENSE",NA,NA,NA,NA,"yes","4.1.2"
"readr","readr","C:/Program Files/R/R-4.1.2/library","2.0.2",NA,"R (>= 3.1)","cli, clipr, crayon, hms (>= 0.4.1), methods, rlang, R6,
tibble, vroom (>= 1.5.4), utils, lifecycle (>= 0.2.0)","cpp11, tzdb (>= 0.1.1)","covr, curl, dplyr, knitr, rmarkdown, spelling, stringi,
testthat, tzdb (>= 0.1.1), waldo, withr, xml2",NA,"MIT + file LICENSE",NA,NA,NA,NA,"yes","4.1.1"
"readxl","readxl","C:/Program Files/R/R-4.1.2/library","1.3.1",NA,NA,"cellranger, Rcpp (>= 0.12.18), tibble (>= 1.3.1), utils","progress, Rcpp","covr, knitr, rmarkdown, rprojroot (>= 1.1), testthat",NA,"GPL-3",NA,NA,NA,NA,"yes","4.1.1"
"recipes","recipes","C:/Program Files/R/R-4.1.2/library","0.1.17",NA,"dplyr, R (>= 3.1)","ellipsis, generics (>= 0.1.0), glue, gower, ipred (>= 0.9-12),
lifecycle, lubridate, magrittr, Matrix, purrr (>= 0.2.3), rlang
(>= 0.4.0), stats, tibble, tidyr (>= 1.0.0), tidyselect (>=
1.1.0), timeDate, utils, vctrs, withr",NA,"covr, ddalpha, dimRed (>= 0.2.2), fastICA, ggplot2, igraph,
kernlab, knitr, modeldata, parsnip (>= 0.1.7), RANN, RcppRoll,
rmarkdown, rpart, rsample, RSpectra, testthat (>= 3.0.0),
workflows, xml2",NA,"MIT + file LICENSE",NA,NA,NA,NA,"no","4.1.1"
"rematch","rematch","C:/Program Files/R/R-4.1.2/library","1.0.1",NA,NA,NA,NA,"covr, testthat",NA,"MIT + file LICENSE",NA,NA,NA,NA,"no","4.1.1"
"rematch2","rematch2","C:/Program Files/R/R-4.1.2/library","2.1.2",NA,NA,"tibble",NA,"covr, testthat",NA,"MIT + file LICENSE",NA,NA,NA,NA,"no","4.1.1"
"remotes","remotes","C:/Program Files/R/R-4.1.2/library","2.4.2",NA,"R (>= 3.0.0)","methods, stats, tools, utils",NA,"brew, callr, codetools, curl, covr, git2r (>= 0.23.0), knitr,
mockery, pkgbuild (>= 1.0.1), pingr, rmarkdown, rprojroot,
testthat, webfakes, withr",NA,"MIT + file LICENSE",NA,NA,NA,NA,"no","4.1.2"
"renv","renv","C:/Program Files/R/R-4.1.2/library","0.15.2",NA,NA,"utils",NA,"R6, BiocManager, cli, covr, devtools, knitr, miniUI, packrat,
pak, remotes, reticulate, rmarkdown, rstudioapi, shiny,
testthat, uuid, yaml",NA,"MIT + file LICENSE",NA,NA,NA,NA,"no","4.1.2"
"reprex","reprex","C:/Program Files/R/R-4.1.2/library","2.0.1",NA,"R (>= 3.3)","callr (>= 3.6.0), cli (>= 2.3.1), clipr (>= 0.4.0), fs, glue,
knitr (>= 1.23), rlang (>= 0.4.0), rmarkdown, rstudioapi,
utils, withr (>= 2.3.0)",NA,"covr, fortunes, miniUI, mockr, rprojroot, sessioninfo, shiny,
spelling, styler (>= 1.2.0), testthat (>= 3.0.2)",NA,"MIT + file LICENSE",NA,NA,NA,NA,"no","4.1.1"
"reshape","reshape","C:/Program Files/R/R-4.1.2/library","0.8.8",NA,"R (>= 2.6.1)","plyr",NA,NA,NA,"MIT + file LICENSE",NA,NA,NA,NA,"yes","4.1.2"
"reshape2","reshape2","C:/Program Files/R/R-4.1.2/library","1.4.4",NA,"R (>= 3.1)","plyr (>= 1.8.1), Rcpp, stringr","Rcpp","covr, lattice, testthat (>= 0.8.0)",NA,"MIT + file LICENSE",NA,NA,NA,NA,"yes","4.1.1"
"reticulate","reticulate","C:/Program Files/R/R-4.1.2/library","1.24",NA,"R (>= 3.0)","Matrix, Rcpp (>= 0.12.7), RcppTOML, graphics, here, jsonlite,
methods, png, rappdirs, utils, withr","Rcpp","callr, knitr, rlang, rmarkdown, testthat",NA,"Apache License 2.0",NA,NA,NA,NA,"yes","4.1.3"
